date,ts,wp,hi,lo,open
2017-02-25,1487980800.0,1172.3825107813889,1189.49,1110.0,1186.91
2017-12-28,1514419200.0,14292.860031115983,15489.0,13500.0,15360.01
2016-08-05,1470355200.0,579.20112780834,592.87,570.39,587.5
2015-11-21,1448064000.0,324.77413709598505,328.0,316.33,322.39
2015-11-26,1448496000.0,342.98828021177053,368.18,328.98,328.99
2017-09-05,1504569600.0,4394.633379150482,4514.95,4242.38,4498.46
2015-05-10,1431216000.0,242.22454929957016,244.89,239.63,242.59
2017-05-08,1494201600.0,1640.8118100401387,1713.0,1608.0,1611.1
2015-10-20,1445299200.0,267.8699005716382,272.95,264.38,264.91
2017-09-04,1504483200.0,4483.935289010963,4628.05,4234.16,4626.05
2015-10-24,1445644800.0,281.0354348995836,284.49,278.75,278.76
2016-10-29,1477699200.0,708.6322813989029,725.64,689.39,689.95
2016-12-16,1481846400.0,780.094099053953,785.0,774.8,776.16
2017-02-07,1486425600.0,1043.6839543277752,1058.26,1021.75,1022.91
2015-09-21,1442793600.0,228.9655644050068,233.64,226.87,232.26
2015-05-20,1432080000.0,233.8841037745621,235.0,232.54,232.58
2017-04-08,1491609600.0,1188.590102707014,1198.0,1170.0,1194.0
2017-09-09,1504915200.0,4336.064500378125,4449.95,4180.0,4350.0
2017-06-30,1498780800.0,2513.160082775212,2554.01,2446.2,2531.16
2016-10-18,1476748800.0,637.6142500787357,640.0,632.15,639.56
2015-10-23,1445558400.0,277.94038266315334,281.17,275.4,275.76
2017-04-07,1491523200.0,1192.2115751907625,1203.0,1175.26,1192.29
2017-08-02,1501632000.0,2714.4315653090243,2758.06,2650.0,2731.6
2015-11-04,1446595200.0,450.215968536646,499.99,368.15,404.06
2016-05-02,1462147200.0,449.29003719206884,457.63,440.02,456.98
2017-12-20,1513728000.0,16865.04266576458,17890.0,14001.0,17838.73
2017-11-12,1510444800.0,6097.406380152208,6486.0,5511.11,6346.64
2017-05-12,1494547200.0,1774.0454460308354,1838.0,1651.01,1837.98
2016-01-07,1452124800.0,449.9752735941789,460.15,430.64,430.66
2015-09-24,1443052800.0,232.75766846413183,235.99,230.09,230.26
2016-01-14,1452729600.0,431.9287248053954,435.27,428.0,432.7
2017-08-01,1501545600.0,2793.1428669897896,2925.0,2676.01,2856.89
2016-09-25,1474761600.0,602.3249479541029,605.99,599.42,603.69
2017-03-28,1490659200.0,1044.5650441868745,1069.39,1016.25,1042.27
2017-02-17,1487289600.0,1049.9182546628438,1064.6,1036.29,1038.95
2018-01-07,1515283200.0,16526.97358349584,17115.01,15755.01,17099.0
2017-09-26,1506384000.0,3918.1693408603496,3960.0,3854.29,3919.98
2016-05-18,1463529600.0,456.2379105255976,457.88,453.6,454.19
2016-06-11,1465603200.0,586.4205170158805,610.0,580.31,580.31
2016-01-10,1452384000.0,446.7695758096388,451.39,442.96,450.39
2017-02-12,1486857600.0,1012.4038162425077,1018.88,1008.0,1018.63
